      x               rho             U               p               u
      0.085625        1.000000        0.000000        1.000000        2.500000
      0.086875        1.000000        0.000000        1.000000        2.500000
      0.088125        1.000000        0.000000        1.000000        2.500000
      0.089375        1.000000        0.000000        1.000000        2.500000
      0.090625        1.000000        0.000000        1.000000        2.500000
      0.091875        1.000000        0.000000        1.000000        2.500000
      0.093125        1.000000        0.000000        1.000000        2.500000
      0.094375        1.000000        0.000000        1.000000        2.500000
      0.095625        1.000000        0.000000        1.000000        2.500000
      0.096875        1.000000        0.000000        1.000000        2.500000
      0.098125        1.000000        0.000000        1.000000        2.500000
      0.099375        1.000000        0.000000        1.000000        2.500000
      0.100625        1.000000        0.000000        1.000000        2.500000
      0.101875        1.000000        0.000000        1.000000        2.500000
      0.103125        1.000000        0.000000        1.000000        2.500000
      0.104375        1.000000        0.000000        1.000000        2.500000
      0.105625        1.000000        0.000000        1.000000        2.500000
      0.106875        1.000000        0.000000        1.000000        2.500000
      0.108125        1.000000        0.000000        1.000000        2.500000
      0.109375        1.000000        0.000000        1.000000        2.500000
      0.110625        1.000000        0.000000        1.000000        2.500000
      0.111875        1.000000        0.000000        1.000000        2.500000
      0.113125        1.000000        0.000000        1.000000        2.500000
      0.114375        1.000000        0.000000        1.000000        2.500000
      0.115625        1.000000        0.000000        1.000000        2.500000
      0.116875        1.000000        0.000000        1.000000        2.500000
      0.118125        1.000000        0.000000        1.000000        2.500000
      0.119375        1.000000        0.000000        1.000000        2.500000
      0.120625        1.000000        0.000000        1.000000        2.500000
      0.121875        1.000000        0.000000        1.000000        2.500000
      0.123125        1.000000        0.000000        1.000000        2.500000
      0.124375        1.000000        0.000000        1.000000        2.500000
      0.125625        1.000000        0.000000        1.000000        2.500000
      0.126875        1.000000        0.000000        1.000000        2.500000
      0.128125        1.000000        0.000000        1.000000        2.500000
      0.129375        1.000000        0.000000        1.000000        2.500000
      0.130625        1.000000        0.000000        1.000000        2.500000
      0.131875        1.000000        0.000000        1.000000        2.500000
      0.133125        1.000000        0.000000        1.000000        2.500000
      0.134375        1.000000        0.000000        1.000000        2.500000
      0.135625        1.000000        0.000000        1.000000        2.500000
      0.136875        1.000000        0.000000        1.000000        2.500000
      0.138125        1.000000        0.000000        1.000000        2.500000
      0.139375        1.000000        0.000000        1.000000        2.500000
      0.140625        1.000000        0.000000        1.000000        2.500000
      0.141875        1.000000        0.000000        1.000000        2.500000
      0.143125        1.000000        0.000000        1.000000        2.500000
      0.144375        1.000000        0.000000        1.000000        2.500000
      0.145625        1.000000        0.000000        1.000000        2.500000
      0.146875        1.000000        0.000000        1.000000        2.500000
      0.148125        1.000000        0.000000        1.000000        2.500000
      0.149375        1.000000        0.000000        1.000000        2.500000
      0.150625        1.000000        0.000000        1.000000        2.500000
      0.151875        1.000000        0.000000        1.000000        2.500000
      0.153125        1.000000        0.000000        1.000000        2.500000
      0.154375        1.000000        0.000000        1.000000        2.500000
      0.155625        1.000000        0.000000        1.000000        2.500000
      0.156875        1.000000        0.000000        1.000000        2.500000
      0.158125        1.000000        0.000000        1.000000        2.500000
      0.159375        1.000000        0.000000        1.000000        2.500000
      0.160625        1.000000        0.000000        1.000000        2.500000
      0.161875        1.000000        0.000000        1.000000        2.500000
      0.163125        1.000000        0.000000        1.000000        2.500000
      0.164375        1.000000        0.000000        1.000000        2.500000
      0.165625        1.000000        0.000000        1.000000        2.500000
      0.166875        1.000000        0.000000        1.000000        2.500000
      0.168125        1.000000        0.000000        1.000000        2.500000
      0.169375        1.000000        0.000000        1.000000        2.500000
      0.170625        1.000000        0.000000        1.000000        2.500000
      0.171875        1.000000        0.000000        1.000000        2.500000
      0.173125        1.000000        0.000000        1.000000        2.500000
      0.174375        1.000000        0.000000        1.000000        2.500000
      0.175625        1.000000        0.000000        1.000000        2.500000
      0.176875        1.000000        0.000000        1.000000        2.500000
      0.178125        1.000000        0.000000        1.000000        2.500000
      0.179375        1.000000        0.000000        1.000000        2.500000
      0.180625        1.000000        0.000000        1.000000        2.500000
