x,T,p,U_0,U_1,U_2
0.538125,1,0.4,2,0,0
0.539375,1,0.4,2,0,0
0.540625,1,0.4,2,0,0
0.541875,1,0.4,2,0,0
0.543125,1,0.4,2,0,0
0.544375,1,0.4,2,0,0
0.545625,1,0.4,2,0,0
0.546875,1,0.4,2,0,0
0.548125,1,0.4,2,0,0
0.549375,1,0.4,2,0,0
0.550625,1,0.4,2,0,0
0.551875,1,0.4,2,0,0
0.553125,1,0.4,2,0,0
0.554375,1,0.4,2,0,0
0.555625,1,0.4,2,0,0
0.556875,1,0.4,2,0,0
0.558125,1,0.4,2,0,0
0.559375,1,0.4,2,0,0
0.560625,1,0.4,2,0,0
0.561875,1,0.4,2,0,0
0.563125,1,0.4,2,0,0
0.564375,1,0.4,2,0,0
0.565625,1,0.4,2,0,0
0.566875,1,0.4,2,0,0
0.568125,1,0.4,2,0,0
0.569375,1,0.4,2,0,0
0.570625,1,0.4,2,0,0
0.571875,1,0.4,2,0,0
0.573125,1,0.4,2,0,0
0.574375,1,0.4,2,0,0
0.575625,1,0.4,2,0,0
0.576875,1,0.4,2,0,0
0.578125,1,0.4,2,0,0
0.579375,1,0.4,2,0,0
0.580625,1,0.4,2,0,0
0.581875,1,0.4,2,0,0
0.583125,1,0.4,2,0,0
0.584375,1,0.4,2,0,0
0.585625,1,0.4,2,0,0
0.586875,1,0.4,2,0,0
0.588125,1,0.4,2,0,0
0.589375,1,0.4,2,0,0
0.590625,1,0.4,2,0,0
0.591875,1,0.4,2,0,0
0.593125,1,0.4,2,0,0
0.594375,1,0.4,2,0,0
0.595625,1,0.4,2,0,0
0.596875,1,0.4,2,0,0
0.598125,1,0.4,2,0,0
0.599375,1,0.4,2,0,0
0.600625,1,0.4,2,0,0
0.601875,1,0.4,2,0,0
0.603125,1,0.4,2,0,0
0.604375,1,0.4,2,0,0
0.605625,1,0.4,2,0,0
0.606875,1,0.4,2,0,0
0.608125,1,0.4,2,0,0
0.609375,1,0.4,2,0,0
0.610625,1,0.4,2,0,0
0.611875,1,0.4,2,0,0
0.613125,1,0.4,2,0,0
0.614375,1,0.4,2,0,0
0.615625,1,0.4,2,0,0
0.616875,1,0.4,2,0,0
0.618125,1,0.4,2,0,0
0.619375,1,0.4,2,0,0
0.620625,1,0.4,2,0,0
0.621875,1,0.4,2,0,0
0.623125,1,0.4,2,0,0
0.624375,1,0.4,2,0,0
0.625625,1,0.4,2,0,0
0.626875,1,0.4,2,0,0
0.628125,1,0.4,2,0,0
0.629375,1,0.4,2,0,0
0.630625,1,0.4,2,0,0
0.631875,1,0.4,2,0,0
0.633125,1,0.4,2,0,0
0.634375,1,0.4,2,0,0
0.635625,1,0.4,2,0,0
0.636875,1,0.4,2,0,0
0.638125,1,0.4,2,0,0
0.639375,1,0.4,2,0,0
0.640625,1,0.4,2,0,0
0.641875,1,0.4,2,0,0
0.643125,1,0.4,2,0,0
0.644375,1,0.4,2,0,0
0.645625,1,0.4,2,0,0
0.646875,1,0.4,2,0,0
0.648125,1,0.4,2,0,0
0.649375,1,0.4,2,0,0
0.650625,1,0.4,2,0,0
0.651875,1,0.4,2,0,0
0.653125,1,0.4,2,0,0
0.654375,1,0.4,2,0,0
0.655625,1,0.4,2,0,0
0.656875,1,0.4,2,0,0
0.658125,1,0.4,2,0,0
0.659375,1,0.4,2,0,0
0.660625,1,0.4,2,0,0
0.661875,1,0.4,2,0,0
0.663125,1,0.4,2,0,0
0.664375,1,0.4,2,0,0
0.665625,1,0.4,2,0,0
0.666875,1,0.4,2,0,0
0.668125,1,0.4,2,0,0
0.669375,1,0.4,2,0,0
0.670625,1,0.4,2,0,0
0.671875,1,0.4,2,0,0
0.673125,1,0.4,2,0,0
0.674375,1,0.4,2,0,0
0.675625,1,0.4,2,0,0
0.676875,1,0.4,2,0,0
0.678125,1,0.4,2,0,0
0.679375,1,0.4,2,0,0
0.680625,1,0.4,2,0,0
0.681875,1,0.4,2,0,0
0.683125,1,0.4,2,0,0
0.684375,1,0.4,2,0,0
0.685625,1,0.4,2,0,0
0.686875,1,0.4,2,0,0
0.688125,1,0.4,2,0,0
0.689375,1,0.4,2,0,0
0.690625,1,0.4,2,0,0
0.691875,1,0.4,2,0,0
0.693125,1,0.4,2,0,0
0.694375,1,0.4,2,0,0
0.695625,1,0.4,2,0,0
0.696875,1,0.4,2,0,0
0.698125,1,0.4,2,0,0
0.699375,1,0.4,2,0,0
0.700625,1,0.4,2,0,0
0.701875,1,0.4,2,0,0
0.703125,1,0.4,2,0,0
0.704375,1,0.4,2,0,0
0.705625,1,0.4,2,0,0
0.706875,1,0.4,2,0,0
0.708125,1,0.4,2,0,0
0.709375,1,0.4,2,0,0
0.710625,1,0.4,2,0,0
0.711875,1,0.4,2,0,0
0.713125,1,0.4,2,0,0
0.714375,1,0.4,2,0,0
0.715625,1,0.4,2,0,0
0.716875,1,0.4,2,0,0
0.718125,1,0.4,2,0,0
0.719375,1,0.4,2,0,0
0.720625,1,0.4,2,0,0
0.721875,1,0.4,2,0,0
0.723125,1,0.4,2,0,0
0.724375,1,0.4,2,0,0
0.725625,1,0.4,2,0,0
0.726875,1,0.4,2,0,0
0.728125,1,0.4,2,0,0
0.729375,1,0.4,2,0,0
0.730625,1,0.4,2,0,0
0.731875,1,0.4,2,0,0
0.733125,1,0.4,2,0,0
0.734375,1,0.4,2,0,0
0.735625,1,0.4,2,0,0
0.736875,1,0.4,2,0,0
0.738125,1,0.4,2,0,0
0.739375,1,0.4,2,0,0
0.740625,1,0.4,2,0,0
0.741875,1,0.4,2,0,0
0.743125,1,0.4,2,0,0
0.744375,1,0.4,2,0,0
0.745625,1,0.4,2,0,0
0.746875,1,0.4,2,0,0
0.748125,1,0.4,2,0,0
0.749375,1,0.4,2,0,0
0.750625,1,0.4,2,0,0
0.751875,1,0.4,2,0,0
0.753125,1,0.4,2,0,0
0.754375,1,0.4,2,0,0
0.755625,1,0.4,2,0,0
0.756875,1,0.4,2,0,0
0.758125,1,0.4,2,0,0
0.759375,1,0.4,2,0,0
0.760625,1,0.4,2,0,0
0.761875,1,0.4,2,0,0
0.763125,1,0.4,2,0,0
0.764375,1,0.4,2,0,0
0.765625,1,0.4,2,0,0
0.766875,1,0.4,2,0,0
0.768125,1,0.4,2,0,0
0.769375,1,0.4,2,0,0
0.770625,1,0.4,2,0,0
0.771875,1,0.4,2,0,0
0.773125,1,0.4,2,0,0
0.774375,1,0.4,2,0,0
0.775625,1,0.4,2,0,0
0.776875,1,0.4,2,0,0
0.778125,1,0.4,2,0,0
0.779375,1,0.4,2,0,0
0.780625,1,0.4,2,0,0
0.781875,1,0.4,2,0,0
0.783125,1,0.4,2,0,0
0.784375,1,0.4,2,0,0
0.785625,1,0.4,2,0,0
0.786875,1,0.4,2,0,0
0.788125,1,0.4,2,0,0
0.789375,1,0.4,2,0,0
0.790625,1,0.4,2,0,0
0.791875,1,0.4,2,0,0
0.793125,1,0.4,2,0,0
0.794375,1,0.4,2,0,0
0.795625,1,0.4,2,0,0
0.796875,1,0.4,2,0,0
0.798125,1,0.4,2,0,0
0.799375,1,0.4,2,0,0
0.800625,1,0.4,2,0,0
0.801875,1,0.4,2,0,0
0.803125,1,0.4,2,0,0
0.804375,1,0.4,2,0,0
0.805625,1,0.4,2,0,0
0.806875,1,0.4,2,0,0
0.808125,1,0.4,2,0,0
0.809375,1,0.4,2,0,0
0.810625,1,0.4,2,0,0
0.811875,1,0.4,2,0,0
0.813125,1,0.4,2,0,0
0.814375,1,0.4,2,0,0
0.815625,1,0.4,2,0,0
0.816875,1,0.4,2,0,0
0.818125,1,0.4,2,0,0
0.819375,1,0.4,2,0,0
0.820625,1,0.4,2,0,0
0.821875,1,0.4,2,0,0
0.823125,1,0.4,2,0,0
0.824375,1,0.4,2,0,0
0.825625,1,0.4,2,0,0
0.826875,1,0.4,2,0,0
