x p rho alpha1 U rho1 rho2
0.827500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.832500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.837500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.842500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.847500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.852500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.857500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.862500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.867500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.872500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.877500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.882500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.887500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.892500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.897500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.902500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.907500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.912500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.917500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.922500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.927500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.932500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.937500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.942500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.947500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.952500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.957500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.962500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.967500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.972500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.977500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
