x,T,p,rho,U_0,U_1,U_2
0.318125,2.21137,0.650605,0.735479,0.353033,0,0
0.319375,2.21137,0.650605,0.735479,0.353033,0,0
0.320625,2.19892,0.637786,0.725072,0.36883,0,0
0.321875,2.19892,0.637786,0.725072,0.36883,0,0
0.323125,2.19892,0.637786,0.725072,0.36883,0,0
0.324375,2.19892,0.637786,0.725072,0.36883,0,0
0.325625,2.18641,0.625095,0.71471,0.384738,0,0
0.326875,2.18641,0.625095,0.71471,0.384738,0,0
0.328125,2.18641,0.625095,0.71471,0.384738,0,0
0.329375,2.18641,0.625095,0.71471,0.384738,0,0
0.330625,2.17386,0.612541,0.7044,0.400752,0,0
0.331875,2.17386,0.612541,0.7044,0.400752,0,0
0.333125,2.17386,0.612541,0.7044,0.400752,0,0
0.334375,2.17386,0.612541,0.7044,0.400752,0,0
0.335625,2.16126,0.600128,0.694147,0.416863,0,0
0.336875,2.16126,0.600128,0.694147,0.416863,0,0
0.338125,2.16126,0.600128,0.694147,0.416863,0,0
0.339375,2.16126,0.600128,0.694147,0.416863,0,0
0.340625,2.14864,0.587862,0.683956,0.433067,0,0
0.341875,2.14864,0.587862,0.683956,0.433067,0,0
0.343125,2.14864,0.587862,0.683956,0.433067,0,0
0.344375,2.14864,0.587862,0.683956,0.433067,0,0
0.345625,2.13598,0.575748,0.673831,0.449357,0,0
0.346875,2.13598,0.575748,0.673831,0.449357,0,0
0.348125,2.13598,0.575748,0.673831,0.449357,0,0
0.349375,2.13598,0.575748,0.673831,0.449357,0,0
0.350625,2.1233,0.56379,0.663777,0.465729,0,0
0.351875,2.1233,0.56379,0.663777,0.465729,0,0
0.353125,2.1233,0.56379,0.663777,0.465729,0,0
0.354375,2.1233,0.56379,0.663777,0.465729,0,0
0.355625,2.1106,0.551991,0.653796,0.482178,0,0
0.356875,2.1106,0.551991,0.653796,0.482178,0,0
0.358125,2.1106,0.551991,0.653796,0.482178,0,0
0.359375,2.1106,0.551991,0.653796,0.482178,0,0
0.360625,2.09788,0.540353,0.643893,0.4987,0,0
0.361875,2.09788,0.540353,0.643893,0.4987,0,0
0.363125,2.09788,0.540353,0.643893,0.4987,0,0
0.364375,2.09788,0.540353,0.643893,0.4987,0,0
0.365625,2.08514,0.528879,0.634069,0.515291,0,0
0.366875,2.08514,0.528879,0.634069,0.515291,0,0
0.368125,2.08514,0.528879,0.634069,0.515291,0,0
0.369375,2.08514,0.528879,0.634069,0.515291,0,0
0.370625,2.0724,0.517571,0.624327,0.531948,0,0
0.371875,2.0724,0.517571,0.624327,0.531948,0,0
0.373125,2.0724,0.517571,0.624327,0.531948,0,0
0.374375,2.0724,0.517571,0.624327,0.531948,0,0
0.375625,2.05965,0.50643,0.61467,0.548667,0,0
0.376875,2.05965,0.50643,0.61467,0.548667,0,0
0.378125,2.05965,0.50643,0.61467,0.548667,0,0
0.379375,2.05965,0.50643,0.61467,0.548667,0,0
0.380625,2.04689,0.495457,0.6051,0.565445,0,0
0.381875,2.04689,0.495457,0.6051,0.565445,0,0
0.383125,2.04689,0.495457,0.6051,0.565445,0,0
0.384375,2.04689,0.495457,0.6051,0.565445,0,0
0.385625,2.03413,0.484653,0.595618,0.582279,0,0
0.386875,2.03413,0.484653,0.595618,0.582279,0,0
0.388125,2.03413,0.484653,0.595618,0.582279,0,0
0.389375,2.03413,0.484653,0.595618,0.582279,0,0
0.390625,2.02137,0.474019,0.586225,0.599166,0,0
0.391875,2.02137,0.474019,0.586225,0.599166,0,0
0.393125,2.02137,0.474019,0.586225,0.599166,0,0
0.394375,2.02137,0.474019,0.586225,0.599166,0,0
0.395625,2.00862,0.463554,0.576925,0.616103,0,0
0.396875,2.00862,0.463554,0.576925,0.616103,0,0
0.398125,2.00862,0.463554,0.576925,0.616103,0,0
0.399375,2.00862,0.463554,0.576925,0.616103,0,0
0.400625,1.99587,0.453261,0.567717,0.633088,0,0
0.401875,1.99587,0.453261,0.567717,0.633088,0,0
0.403125,1.99587,0.453261,0.567717,0.633088,0,0
0.404375,1.99587,0.453261,0.567717,0.633088,0,0
0.405625,1.98313,0.443138,0.558604,0.650117,0,0
0.406875,1.98313,0.443138,0.558604,0.650117,0,0
0.408125,1.98313,0.443138,0.558604,0.650117,0,0
0.409375,1.98313,0.443138,0.558604,0.650117,0,0
0.410625,1.9704,0.433186,0.549587,0.667187,0,0
0.411875,1.9704,0.433186,0.549587,0.667187,0,0
0.413125,1.9704,0.433186,0.549587,0.667187,0,0
0.414375,1.9704,0.433186,0.549587,0.667187,0,0
0.415625,1.95768,0.423406,0.540667,0.684293,0,0
0.416875,1.95768,0.423406,0.540667,0.684293,0,0
0.418125,1.95768,0.423406,0.540667,0.684293,0,0
0.419375,1.95768,0.423406,0.540667,0.684293,0,0
0.420625,1.94499,0.413799,0.531849,0.70143,0,0
